N,P,K,ph,crop
99.84,14.33,46.46,7.17,watermelon
118.45,12.25,41.99,7.19,watermelon
105.33,22.74,49.83,6.89,watermelon
100.95,19.02,56.48,6.63,watermelon
93.74,16.88,50.8,6.1,watermelon
98.42,14.74,49.0,6.79,watermelon
107.56,18.18,45.65,6.44,watermelon
109.26,20.97,58.79,6.72,watermelon
107.87,13.69,44.85,6.25,watermelon
103.71,16.98,46.37,6.43,watermelon
91.47,20.47,52.85,6.57,watermelon
101.92,9.26,40.72,6.6,watermelon
91.55,16.77,56.37,6.7,watermelon
90.08,15.28,53.12,6.27,watermelon
100.43,16.46,54.5,5.96,watermelon
102.14,14.99,52.79,7.15,watermelon
104.42,17.55,49.19,7.5,watermelon
101.98,24.69,44.68,6.68,watermelon
102.19,15.7,49.3,5.97,watermelon
93.09,18.17,45.12,6.19,watermelon
98.37,24.98,52.43,6.7,watermelon
89.96,14.8,54.03,7.04,watermelon
86.98,24.26,57.38,6.01,watermelon
103.44,17.02,51.86,6.45,watermelon
94.48,24.13,54.62,6.58,watermelon
104.23,20.0,48.51,6.85,watermelon
105.65,18.23,47.61,6.36,watermelon
95.28,16.74,52.37,5.87,watermelon
102.54,14.5,48.07,6.75,watermelon
95.03,17.3,51.35,6.95,watermelon
87.92,20.59,44.69,6.47,watermelon
99.74,16.95,45.59,6.66,watermelon
96.17,15.73,53.18,6.31,watermelon
96.36,16.0,54.43,6.16,watermelon
110.85,20.97,45.07,6.91,watermelon
89.84,21.9,53.35,6.65,watermelon
101.3,14.33,47.34,6.7,watermelon
93.03,14.33,50.08,7.1,watermelon
104.45,18.52,57.08,6.08,watermelon
100.79,23.11,54.04,6.28,watermelon
101.28,21.58,53.98,6.56,watermelon
93.33,11.99,59.54,6.27,watermelon
94.41,15.94,46.48,6.81,watermelon
104.56,13.28,45.07,6.43,watermelon
109.62,15.93,46.39,6.1,watermelon
101.88,23.42,48.73,6.53,watermelon
93.62,11.31,38.23,6.57,watermelon
101.03,10.52,48.96,6.87,watermelon
113.56,13.69,47.28,6.66,watermelon
99.61,18.15,53.92,6.68,watermelon
107.77,19.48,51.76,6.63,watermelon
94.56,18.75,47.0,6.42,watermelon
98.75,21.7,52.95,6.21,watermelon
102.72,9.95,53.62,6.62,watermelon
101.38,21.75,46.16,6.37,watermelon
110.14,15.89,47.65,6.42,muskmelon
108.05,21.58,43.03,6.27,muskmelon
103.8,19.4,53.51,6.34,muskmelon
102.27,17.08,55.59,6.45,muskmelon
99.47,13.02,48.45,7.09,muskmelon
92.43,17.91,48.11,6.3,muskmelon
98.7,21.05,45.19,6.42,muskmelon
100.61,18.72,49.25,6.05,muskmelon
101.38,17.67,47.19,6.69,muskmelon
102.82,13.81,44.94,6.95,muskmelon
105.53,20.47,59.46,7.05,muskmelon
95.85,5.0,52.33,6.48,muskmelon
95.9,18.53,52.86,6.63,muskmelon
108.71,27.28,54.42,6.34,muskmelon
104.63,10.97,53.86,6.61,muskmelon
97.66,16.03,47.93,6.53,muskmelon
99.36,16.97,51.36,6.42,muskmelon
99.38,15.15,48.65,6.46,muskmelon
100.19,21.15,52.19,6.58,muskmelon
102.84,18.89,51.71,6.28,muskmelon
115.21,17.61,48.09,6.3,muskmelon
101.14,20.19,43.35,7.08,muskmelon
103.98,17.07,50.73,7.48,muskmelon
89.88,29.72,48.98,5.92,muskmelon
97.09,17.61,40.55,5.9,muskmelon
107.37,17.78,52.54,6.02,muskmelon
102.41,10.16,54.83,6.36,muskmelon
73.67,14.83,62.64,6.76,muskmelon
104.04,21.59,48.04,6.64,muskmelon
111.51,11.66,47.31,6.47,muskmelon
88.02,8.37,44.45,6.61,muskmelon
109.12,17.13,51.04,6.12,muskmelon
83.37,22.48,51.01,6.3,muskmelon
105.63,17.17,45.94,6.39,muskmelon
99.95,15.66,49.13,5.77,muskmelon
85.9,9.57,40.11,5.94,muskmelon
102.68,18.81,54.63,5.95,muskmelon
106.91,19.65,46.15,6.71,muskmelon
102.18,9.87,49.83,6.5,muskmelon
103.51,21.54,42.87,6.64,muskmelon
97.53,20.06,47.09,5.66,muskmelon
88.83,21.53,48.6,5.81,muskmelon
104.15,19.33,49.94,6.67,muskmelon
110.5,19.61,52.4,5.29,muskmelon
106.78,19.08,57.2,6.89,muskmelon
88.07,20.47,53.66,5.67,muskmelon
90.91,9.72,54.81,6.74,muskmelon
94.92,11.0,57.23,6.04,muskmelon
90.44,14.06,52.85,6.82,muskmelon
100.27,16.48,49.82,7.68,muskmelon
102.36,18.55,55.05,5.49,muskmelon
91.42,18.3,55.37,6.68,muskmelon
104.66,21.47,53.24,5.68,muskmelon
103.61,21.59,42.73,6.57,muskmelon
96.71,13.51,45.79,6.32,muskmelon
98.96,17.95,48.63,6.45,muskmelon
88.3,13.61,53.9,6.04,muskmelon
98.01,16.25,49.89,6.71,muskmelon
100.04,18.29,55.68,5.82,muskmelon
101.01,5.0,56.58,6.9,muskmelon
102.27,26.64,56.0,6.24,muskmelon
101.47,19.27,56.03,5.84,muskmelon
98.41,14.62,44.82,7.04,muskmelon
101.72,24.71,52.41,6.37,muskmelon
106.01,15.61,46.96,7.16,muskmelon
99.43,17.53,41.75,6.89,muskmelon
101.91,15.05,48.56,6.08,muskmelon
98.88,23.61,56.62,6.37,muskmelon
96.12,16.58,52.3,6.45,muskmelon
103.14,17.6,60.09,7.01,muskmelon
96.67,21.82,50.89,6.58,muskmelon
102.32,19.34,62.24,6.47,muskmelon
100.17,16.78,50.89,6.32,muskmelon
98.18,21.44,50.11,6.38,muskmelon
98.03,27.15,43.6,6.92,muskmelon
96.95,18.27,55.55,6.4,muskmelon
90.13,17.47,47.49,6.24,muskmelon
102.3,17.68,46.76,6.17,muskmelon
101.39,22.24,56.41,6.18,muskmelon
105.1,14.6,55.79,5.84,muskmelon
96.81,15.89,55.66,6.1,muskmelon
111.37,10.85,48.19,7.0,muskmelon
97.72,12.26,49.75,6.32,muskmelon
94.75,14.93,49.7,6.68,muskmelon
94.04,16.78,53.91,5.41,muskmelon
89.6,24.08,57.77,6.63,muskmelon
109.2,19.14,51.84,6.34,muskmelon
108.23,13.35,59.87,6.21,muskmelon
103.6,14.09,54.49,6.47,muskmelon
94.62,22.5,48.83,6.2,muskmelon
110.87,21.51,54.14,5.55,muskmelon
97.89,17.11,58.53,6.77,muskmelon
98.39,15.23,59.99,6.5,muskmelon
108.62,21.5,55.93,6.27,muskmelon
103.95,13.03,50.13,6.01,muskmelon
113.21,18.57,48.92,5.81,muskmelon
101.49,26.09,52.88,6.49,muskmelon
97.62,17.82,58.37,7.05,muskmelon
96.33,13.9,52.17,6.48,muskmelon
88.92,18.64,52.27,5.85,muskmelon
21.9,132.05,205.0,6.69,apple
20.79,129.75,194.01,5.54,apple
24.46,130.64,199.87,5.78,apple
23.43,144.45,197.84,5.36,apple
9.06,135.84,198.62,6.4,apple
23.18,135.05,189.22,6.95,apple
16.99,132.43,205.0,5.02,apple
15.31,145.0,194.35,5.73,apple
20.25,141.83,205.0,6.53,apple
22.64,129.67,195.27,5.18,apple
14.44,132.36,195.25,6.18,apple
23.82,132.71,205.0,6.51,apple
24.05,134.88,204.96,5.94,apple
21.19,129.79,200.25,6.18,apple
17.53,136.63,203.57,6.78,apple
17.08,142.71,197.27,6.87,apple
25.1,126.12,198.95,5.87,apple
14.96,127.23,195.03,5.63,apple
25.26,131.1,204.42,5.44,apple
20.34,131.38,194.84,6.39,apple
20.62,145.0,205.0,5.21,apple
14.17,140.01,197.1,5.77,apple
20.41,139.67,199.12,5.95,apple
23.45,132.41,203.55,5.65,apple
15.65,132.28,199.14,6.04,apple
22.99,125.29,197.21,7.18,apple
21.36,138.69,198.82,5.84,apple
18.42,136.95,204.36,5.68,apple
24.42,141.72,195.02,6.41,apple
12.19,132.74,198.24,6.02,apple
22.39,133.15,199.06,6.62,apple
27.48,135.02,204.19,5.98,apple
26.76,139.35,198.4,5.78,apple
22.56,125.18,205.0,5.01,apple
19.79,138.42,198.06,5.09,apple
18.46,133.88,197.57,4.98,apple
19.79,127.65,197.97,6.09,apple
23.18,121.49,191.1,5.22,apple
17.77,133.18,192.78,6.53,apple
24.03,142.69,195.82,5.92,apple
29.53,144.05,205.0,5.78,apple
20.75,136.13,198.8,5.48,apple
15.62,145.0,196.09,6.21,apple
15.62,133.74,205.0,5.5,apple
24.11,139.72,205.0,5.41,apple
20.76,131.29,205.0,6.49,apple
24.51,130.91,193.88,6.08,apple
18.87,129.93,196.03,5.78,apple
24.32,121.64,205.0,6.22,apple
20.37,141.72,200.45,5.9,apple
18.07,130.15,197.39,6.09,apple
19.4,129.19,203.31,5.49,apple
16.21,126.92,205.0,6.94,apple
28.96,132.77,195.57,5.61,apple
20.61,144.58,200.32,6.68,apple
23.58,145.0,204.56,5.81,apple
18.85,124.03,192.04,6.3,apple
16.79,131.87,199.07,6.27,apple
20.06,127.79,192.31,6.47,apple
25.4,139.93,193.1,5.48,apple
18.92,135.72,195.62,6.44,apple
17.52,130.18,201.86,6.82,apple
21.62,134.44,197.07,5.77,apple
23.0,131.14,195.11,5.92,apple
27.57,143.69,199.31,5.64,apple
22.42,137.28,192.12,5.73,apple
23.58,138.02,201.57,6.76,apple
23.88,118.0,205.0,5.4,apple
16.39,133.6,198.52,5.43,apple
17.15,145.0,197.78,6.71,apple
16.66,141.96,201.24,6.21,apple
15.67,122.92,186.83,6.96,apple
24.18,132.12,202.22,5.67,apple
22.16,126.79,205.0,5.96,apple
21.32,144.27,198.26,5.57,apple
10.63,135.47,198.29,5.97,apple
29.22,129.39,203.46,5.01,apple
17.42,134.2,205.0,6.24,apple
29.21,118.36,204.85,6.06,apple
15.2,127.49,186.07,5.87,apple
17.75,134.22,202.38,5.7,apple
12.19,139.07,205.0,5.45,apple
22.45,122.35,202.73,6.26,apple
16.59,131.71,192.07,5.31,apple
16.71,140.06,200.69,6.16,apple
15.51,125.29,191.32,6.94,apple
24.11,135.38,205.0,6.64,apple
23.85,134.4,193.26,5.15,apple
28.25,144.29,199.45,5.63,apple
18.26,132.62,193.85,6.11,apple
21.88,132.97,195.72,5.86,apple
15.84,139.13,205.0,5.2,apple
19.66,126.04,199.62,6.09,apple
18.92,132.67,195.64,5.89,apple
22.86,131.27,192.13,6.86,apple
25.07,133.17,187.77,5.77,apple
24.96,139.09,191.49,6.48,apple
17.63,137.32,199.67,5.27,apple
24.99,129.51,204.88,5.39,apple
20.82,134.82,195.64,6.26,apple
23.33,21.0,12.65,6.79,orange
15.17,21.8,9.08,7.79,orange
19.1,27.2,11.93,6.57,orange
13.47,19.03,10.67,7.75,orange
18.28,16.65,12.16,6.69,orange
22.35,19.89,5.97,7.1,orange
17.26,13.76,9.56,6.9,orange
18.0,16.43,9.83,6.96,orange
14.48,13.41,11.87,7.42,orange
16.41,17.59,8.11,7.7,orange
26.03,13.39,5.0,7.58,orange
19.29,13.25,6.75,6.94,orange
14.99,17.65,9.82,7.17,orange
17.74,15.45,10.19,6.79,orange
12.61,8.29,15.05,6.7,orange
14.94,10.18,11.75,6.64,orange
24.44,11.41,10.24,6.92,orange
18.43,12.47,9.9,7.2,orange
26.56,17.66,13.31,6.34,orange
18.62,16.88,8.23,7.08,orange
18.86,20.26,9.58,7.71,orange
21.56,19.01,6.73,7.55,orange
8.31,20.29,14.26,6.87,orange
19.82,18.43,11.18,6.54,orange
18.8,16.84,7.88,7.28,orange
24.94,20.4,9.66,6.17,orange
22.86,19.68,11.53,7.54,orange
14.47,17.5,9.25,7.01,orange
23.97,21.08,8.4,7.83,orange
17.95,6.62,8.04,6.41,orange
15.38,14.84,11.02,7.47,orange
19.79,14.78,8.93,7.06,orange
18.19,20.61,8.64,6.97,orange
25.15,22.29,5.99,6.55,orange
20.36,10.2,10.23,7.34,orange
19.82,21.64,9.46,7.37,orange
22.6,11.31,9.04,7.81,orange
23.37,11.44,10.6,7.5,orange
22.13,15.06,12.24,6.86,orange
24.68,14.73,12.1,6.7,orange
21.43,9.77,11.66,6.55,orange
19.67,18.6,9.28,7.69,orange
23.96,18.72,8.3,6.79,orange
18.64,20.22,6.87,7.69,orange
19.13,14.27,8.22,7.31,orange
25.89,15.84,10.06,7.23,orange
25.49,15.88,7.64,6.98,orange
18.97,22.75,10.29,7.36,orange
17.19,5.0,7.1,7.09,orange
24.85,12.17,5.02,6.95,orange
22.2,16.02,12.46,7.38,orange
20.26,11.66,8.58,7.04,orange
17.71,14.97,7.49,6.78,orange
20.33,15.5,6.72,7.34,orange
18.91,13.37,11.27,7.07,orange
16.34,16.26,14.12,7.3,orange
19.52,18.51,8.79,6.92,orange
20.06,15.05,9.35,6.62,orange
17.5,14.19,13.21,7.79,orange
22.62,15.34,5.0,7.72,orange
24.16,15.97,15.9,7.45,orange
22.88,9.04,17.33,6.94,orange
17.9,17.85,5.0,6.98,orange
22.02,14.2,9.71,7.65,orange
19.31,21.05,7.84,6.96,orange
14.06,18.36,9.21,6.85,orange
21.69,20.68,8.74,7.85,orange
19.58,11.96,12.44,7.08,orange
29.37,14.51,9.66,7.81,orange
24.83,11.03,7.27,6.54,orange
21.84,13.18,9.48,7.31,orange
20.0,21.01,11.54,7.93,orange
19.65,21.95,6.45,7.11,orange
14.99,11.41,5.06,6.99,orange
12.04,14.17,15.98,6.63,orange
15.51,15.7,8.07,7.53,orange
18.81,18.34,9.59,6.79,orange
10.58,8.96,8.81,7.06,orange
16.82,9.59,11.64,6.61,orange
18.01,17.96,15.32,7.72,orange
18.14,8.2,11.74,7.56,orange
16.35,14.21,5.44,7.09,orange
17.63,16.65,5.85,6.64,orange
25.9,17.66,8.8,7.71,orange
21.65,15.43,9.2,6.95,orange
16.76,14.54,5.0,6.66,orange
18.73,19.38,12.46,6.4,orange
18.89,17.14,6.74,6.84,orange
15.93,13.41,14.48,6.52,orange
15.92,16.15,15.46,6.85,orange
23.04,17.53,9.26,7.4,orange
17.32,22.87,11.32,6.95,orange
14.62,19.15,6.3,7.24,orange
18.83,20.86,11.87,6.81,orange
19.47,13.56,8.51,7.13,orange
11.11,13.9,6.74,7.87,orange
18.84,15.06,9.13,6.96,orange
22.47,15.43,8.6,7.25,orange
20.8,11.97,9.02,6.47,orange
27.92,21.06,12.85,7.71,orange
46.61,53.67,42.7,7.2,papaya
54.25,65.79,45.55,6.17,papaya
48.38,55.33,46.4,6.93,papaya
52.06,61.33,48.96,7.11,papaya
52.36,54.82,46.19,6.63,papaya
46.74,62.8,53.54,6.65,papaya
54.46,53.87,41.97,6.87,papaya
45.21,59.2,42.1,6.84,papaya
52.89,59.26,48.33,6.93,papaya
47.05,70.64,49.12,6.92,papaya
50.75,62.15,42.73,6.31,papaya
46.69,56.04,46.97,7.1,papaya
49.25,62.43,47.99,7.17,papaya
43.63,69.69,48.03,6.77,papaya
50.24,50.85,50.76,6.1,papaya
49.22,54.79,46.69,6.65,papaya
46.3,57.82,57.39,6.78,papaya
48.72,56.91,52.44,6.24,papaya
49.67,57.34,45.96,6.56,papaya
45.92,52.48,50.47,6.14,papaya
48.36,66.02,50.62,6.94,papaya
43.97,51.89,56.07,6.77,papaya
60.73,58.0,47.0,6.04,papaya
54.3,64.23,53.84,6.84,papaya
50.37,58.85,50.21,6.68,papaya
54.86,54.1,57.46,6.91,papaya
39.1,52.26,56.45,6.54,papaya
36.21,57.85,50.98,6.38,papaya
47.0,55.21,48.69,6.39,papaya
42.11,60.03,52.53,6.48,papaya
47.82,51.99,49.1,6.71,papaya
50.03,63.07,58.4,6.76,papaya
53.6,59.58,50.39,6.62,papaya
43.31,59.95,47.97,6.53,papaya
51.0,66.21,47.7,6.56,papaya
49.07,56.81,43.93,7.7,papaya
50.74,55.37,52.78,6.39,papaya
46.4,56.26,45.9,6.48,papaya
55.92,58.04,55.49,8.02,papaya
48.48,58.55,43.54,6.87,papaya
57.87,54.85,50.64,6.15,papaya
45.05,48.88,55.75,7.04,papaya
52.71,56.2,39.24,6.34,papaya
48.7,60.8,60.09,7.06,papaya
47.36,59.68,47.87,6.62,papaya
52.16,65.0,50.71,6.52,papaya
47.5,68.78,52.86,7.34,papaya
35.69,62.8,53.63,6.93,papaya
33.69,65.91,51.37,7.09,papaya
55.36,62.83,54.99,6.87,papaya
55.15,67.55,52.6,6.52,papaya
58.44,68.25,58.8,6.94,papaya
48.91,63.76,52.61,7.18,papaya
42.54,62.53,59.82,6.75,papaya
46.9,57.97,54.51,7.42,papaya
49.06,58.79,40.97,7.04,papaya
43.96,57.31,63.06,6.78,papaya
57.24,62.11,47.13,6.8,papaya
60.2,55.4,57.48,6.75,papaya
51.39,58.04,50.13,6.2,papaya
48.95,47.22,55.31,6.66,papaya
42.53,67.62,46.56,6.79,papaya
56.73,57.9,53.13,6.53,papaya
49.38,61.28,48.73,6.84,papaya
47.55,66.29,57.9,6.71,papaya
51.41,60.5,52.19,7.01,papaya
46.07,66.22,54.68,6.97,papaya
49.73,52.79,39.18,6.77,papaya
41.79,70.99,49.57,6.15,papaya
54.44,64.44,52.05,7.42,papaya
48.48,60.05,51.12,6.64,papaya
54.79,66.13,54.81,6.67,papaya
47.99,53.16,48.17,6.56,papaya
48.32,57.56,50.24,6.5,papaya
42.94,66.22,55.91,7.32,papaya
52.8,49.66,38.61,7.25,papaya
44.62,61.8,52.95,6.88,papaya
46.57,61.66,48.33,6.66,papaya
49.01,68.85,45.44,6.95,papaya
49.61,51.09,51.68,6.73,papaya
40.47,67.05,56.14,6.62,papaya
47.85,56.2,55.2,6.84,papaya
52.98,56.76,49.32,6.52,papaya
47.11,52.89,54.38,6.8,papaya
47.88,53.56,54.34,6.78,papaya
49.81,61.02,49.56,6.94,papaya
48.37,53.44,46.53,6.45,papaya
43.85,62.7,46.82,6.98,papaya
48.82,55.69,54.19,6.34,papaya
53.97,52.93,49.79,6.47,papaya
43.74,56.36,44.77,6.49,papaya
47.13,60.68,41.58,6.27,papaya
42.09,57.61,54.16,7.11,papaya
53.71,59.17,47.27,6.31,papaya
48.54,62.48,51.65,6.42,papaya
44.75,64.41,56.2,7.2,papaya
49.46,57.45,43.46,6.47,papaya
42.98,53.78,49.77,6.62,papaya
43.83,59.38,49.15,6.3,papaya
41.7,61.35,51.9,7.03,papaya
25.39,16.66,30.74,6.37,coconut
24.96,13.6,36.19,4.81,coconut
24.15,13.78,24.07,5.62,coconut
22.29,15.53,26.36,5.87,coconut
19.9,15.82,41.22,6.02,coconut
18.74,14.24,28.91,5.54,coconut
27.16,17.3,22.44,4.98,coconut
25.06,8.74,27.67,5.5,coconut
19.23,13.08,18.92,5.53,coconut
22.16,14.88,30.96,5.51,coconut
20.8,12.58,33.24,6.39,coconut
17.49,22.52,26.35,5.29,coconut
22.71,16.08,28.12,6.05,coconut
20.34,16.71,33.69,5.98,coconut
18.19,14.07,23.0,6.38,coconut
16.08,15.94,24.71,5.83,coconut
15.74,11.14,29.09,6.3,coconut
20.51,15.32,26.99,5.81,coconut
21.66,12.25,28.82,6.12,coconut
18.5,14.89,24.94,5.15,coconut
24.6,5.76,30.86,4.58,coconut
21.74,11.49,29.4,6.09,coconut
24.31,21.86,32.2,6.12,coconut
21.27,19.32,30.8,6.14,coconut
18.85,21.28,30.83,5.64,coconut
22.46,21.55,24.21,6.64,coconut
16.95,18.69,31.97,5.67,coconut
24.16,14.19,28.68,6.11,coconut
18.25,11.85,29.33,6.2,coconut
25.67,20.59,34.19,6.76,coconut
20.65,16.26,27.12,5.74,coconut
26.25,25.98,35.4,5.57,coconut
17.51,14.54,35.78,5.15,coconut
19.29,23.89,33.01,6.68,coconut
23.52,15.37,26.08,6.11,coconut
26.68,21.34,21.25,6.13,coconut
28.67,22.79,34.32,7.46,coconut
22.17,11.91,30.45,6.06,coconut
29.35,14.06,27.02,5.25,coconut
20.84,11.87,34.69,5.8,coconut
26.4,11.08,26.55,5.41,coconut
18.23,18.67,28.3,5.7,coconut
23.68,15.21,32.1,5.7,coconut
12.63,16.21,25.55,5.61,coconut
17.51,18.22,29.56,5.2,coconut
23.87,8.57,34.36,6.7,coconut
16.75,21.15,30.84,6.05,coconut
23.71,14.6,34.99,5.79,coconut
25.63,18.13,34.53,6.28,coconut
19.99,18.48,30.03,6.14,coconut
18.12,21.48,20.65,6.04,coconut
20.1,15.58,25.58,6.24,coconut
18.14,7.51,33.05,5.97,coconut
21.6,16.23,23.8,6.24,coconut
22.41,16.8,28.69,6.28,coconut
20.78,11.86,31.35,5.98,coconut
28.7,16.59,35.88,5.79,coconut
19.12,14.56,27.7,6.67,coconut
27.57,10.63,27.43,5.66,coconut
17.84,18.69,29.79,6.1,coconut
22.29,13.75,31.4,6.11,coconut
26.73,14.37,29.38,5.6,coconut
26.53,14.15,34.2,5.5,coconut
20.32,20.94,26.8,5.72,coconut
24.22,15.84,30.48,5.65,coconut
23.68,16.32,31.78,5.17,coconut
19.84,14.24,28.4,5.57,coconut
24.46,17.85,33.36,6.03,coconut
29.45,21.4,30.6,6.53,coconut
23.89,18.59,33.16,6.18,coconut
24.27,18.75,30.78,4.6,coconut
24.69,18.42,31.51,6.22,coconut
16.16,10.48,27.47,5.62,coconut
23.84,12.5,27.48,6.13,coconut
17.93,15.18,34.9,5.89,coconut
19.64,13.1,32.54,5.8,coconut
30.65,11.74,25.91,5.85,coconut
20.99,8.51,30.72,5.89,coconut
19.04,10.61,20.5,6.57,coconut
26.61,14.97,27.7,5.89,coconut
18.21,15.72,33.84,6.44,coconut
20.21,12.83,29.5,6.37,coconut
27.0,16.32,30.47,6.23,coconut
22.17,14.26,17.93,5.01,coconut
15.75,20.36,28.43,6.46,coconut
24.18,15.35,31.35,5.67,coconut
20.41,18.79,31.86,6.26,coconut
28.16,16.81,33.85,5.41,coconut
19.58,10.39,29.16,5.31,coconut
26.2,15.64,29.34,6.89,coconut
29.1,11.06,24.67,5.42,coconut
18.6,15.57,29.18,6.47,coconut
21.23,13.02,24.95,5.96,coconut
23.55,17.53,22.61,5.69,coconut
18.57,10.63,25.66,5.88,coconut
23.08,16.06,36.03,5.25,coconut
21.1,18.29,28.92,5.89,coconut
21.02,19.63,30.88,5.36,coconut
22.2,12.94,27.95,5.7,coconut
22.29,16.07,22.84,6.36,coconut
119.53,43.45,22.25,6.69,cotton
109.11,44.88,23.88,7.24,cotton
123.11,33.89,19.42,7.33,cotton
117.96,44.49,14.49,6.69,cotton
114.75,46.46,14.54,6.6,cotton
122.48,43.95,23.44,7.2,cotton
117.0,54.78,14.96,7.13,cotton
111.01,40.19,21.57,6.34,cotton
129.09,43.18,20.46,6.45,cotton
117.9,41.48,21.51,5.89,cotton
117.51,43.18,21.89,7.14,cotton
115.57,51.16,16.27,6.8,cotton
125.08,53.39,16.1,6.84,cotton
114.85,42.5,22.86,6.22,cotton
108.73,42.38,17.48,6.46,cotton
113.93,40.21,9.0,6.71,cotton
125.96,52.53,22.6,6.63,cotton
122.99,51.61,15.85,6.95,cotton
116.47,45.47,21.87,7.13,cotton
126.24,39.02,25.57,7.81,cotton
122.49,39.47,20.07,6.89,cotton
116.4,46.85,23.98,7.35,cotton
117.0,48.75,20.62,6.57,cotton
119.98,35.67,26.35,6.23,cotton
113.01,44.39,15.75,6.76,cotton
118.03,54.09,19.97,6.26,cotton
119.85,44.91,22.69,6.91,cotton
107.88,53.45,19.24,6.59,cotton
116.86,49.25,24.61,6.12,cotton
116.18,40.58,18.27,7.59,cotton
124.17,44.54,28.28,6.68,cotton
106.93,45.36,28.49,6.24,cotton
115.71,41.24,21.13,7.26,cotton
115.11,41.15,22.21,6.61,cotton
123.76,53.53,24.77,7.34,cotton
117.74,41.11,15.25,6.61,cotton
128.78,51.39,14.75,6.68,cotton
121.97,43.82,25.03,7.04,cotton
115.54,45.87,21.1,7.14,cotton
119.44,48.81,19.09,7.21,cotton
115.88,43.01,20.04,6.86,cotton
123.16,48.84,10.46,7.11,cotton
110.01,35.77,19.24,7.2,cotton
113.06,48.2,16.99,6.98,cotton
120.73,33.66,23.67,6.84,cotton
125.35,44.87,23.98,6.32,cotton
104.79,50.27,22.31,7.14,cotton
126.25,49.11,21.58,6.92,cotton
117.16,39.51,14.01,6.73,cotton
106.7,40.15,22.36,7.41,cotton
99.99,42.56,22.52,6.33,cotton
108.82,46.93,24.98,7.56,cotton
117.88,35.84,28.47,6.89,cotton
117.6,45.93,13.23,7.03,cotton
121.8,47.56,18.45,6.74,cotton
114.7,44.58,17.03,6.23,cotton
111.35,48.63,20.69,6.84,cotton
115.52,47.12,20.05,7.03,cotton
118.2,43.29,19.06,7.17,cotton
119.38,36.32,24.11,6.82,cotton
113.27,46.67,15.59,6.02,cotton
123.41,41.23,15.84,6.28,cotton
114.27,43.11,15.9,7.72,cotton
112.78,48.4,18.56,6.46,cotton
114.75,53.09,15.09,7.47,cotton
124.45,45.81,19.81,6.53,cotton
117.2,48.77,19.34,6.83,cotton
113.83,38.78,16.85,7.15,cotton
123.56,47.23,23.5,6.57,cotton
130.86,45.7,19.76,7.54,cotton
119.26,52.15,24.25,6.93,cotton
125.4,43.3,19.22,7.08,cotton
124.22,44.79,19.9,6.79,cotton
114.37,51.29,17.75,7.16,cotton
118.16,45.54,19.97,7.53,cotton
110.3,40.46,22.85,6.85,cotton
116.77,58.76,18.35,7.59,cotton
114.24,40.61,22.07,6.66,cotton
115.58,45.68,16.75,7.21,cotton
113.5,47.73,23.04,7.1,cotton
116.28,47.34,17.68,6.47,cotton
121.19,45.05,23.41,6.99,cotton
117.28,45.08,20.24,6.9,cotton
106.81,44.83,26.08,6.56,cotton
113.52,40.42,15.38,7.04,cotton
108.88,56.75,14.1,6.96,cotton
119.46,44.9,17.54,6.87,cotton
121.02,48.98,14.46,6.87,cotton
119.54,44.33,14.47,6.86,cotton
113.28,44.23,22.49,6.75,cotton
119.48,43.72,19.98,6.96,cotton
115.18,38.25,18.08,6.64,cotton
111.17,45.2,18.45,7.96,cotton
122.45,43.96,17.61,6.34,cotton
122.91,51.86,26.6,6.67,cotton
123.69,40.02,17.06,6.7,cotton
114.35,43.11,14.71,7.72,cotton
125.08,41.51,23.18,6.37,cotton
115.04,53.21,19.14,7.07,cotton
121.92,41.65,28.16,7.0,cotton
80.0,52.24,41.84,7.14,jute
85.42,45.21,31.49,6.46,jute
85.29,39.96,42.49,6.93,jute
75.29,52.69,35.9,6.83,jute
79.16,45.75,46.4,6.14,jute
66.82,37.37,38.24,6.91,jute
78.59,49.56,34.38,6.13,jute
73.24,51.13,40.38,6.95,jute
76.88,33.87,35.42,6.5,jute
67.89,41.88,46.34,6.7,jute
80.43,45.45,40.0,6.18,jute
67.82,49.67,39.24,6.75,jute
78.89,43.42,42.96,7.07,jute
70.64,41.84,34.98,6.38,jute
72.9,49.64,33.55,6.46,jute
84.93,43.66,42.04,6.88,jute
81.53,48.71,34.5,6.89,jute
84.9,40.44,34.5,5.73,jute
87.36,39.24,44.18,7.51,jute
73.36,49.78,42.63,6.91,jute
86.99,47.26,33.73,6.98,jute
69.21,50.61,36.9,6.64,jute
82.48,43.34,35.48,5.96,jute
75.04,42.02,48.88,6.97,jute
72.42,52.8,44.53,6.47,jute
81.69,38.39,37.9,6.92,jute
83.67,52.26,42.88,6.61,jute
83.49,52.6,33.22,6.8,jute
79.29,50.3,36.64,6.39,jute
78.79,42.56,40.52,7.05,jute
81.16,41.92,42.26,6.22,jute
79.82,44.95,39.51,7.6,jute
81.25,39.52,41.24,7.6,jute
79.22,41.19,40.39,7.35,jute
83.06,49.22,39.18,7.21,jute
68.24,49.25,38.52,6.67,jute
77.21,40.75,37.87,7.17,jute
69.7,49.38,41.16,6.66,jute
79.66,48.27,42.05,6.08,jute
87.85,53.55,40.99,7.3,jute
75.16,48.85,34.11,7.15,jute
78.76,51.29,35.01,6.69,jute
82.54,48.39,41.99,6.21,jute
